record_type,enum_type,value,priority,sources,encodings,offsets,categories
enum_value,EInterchangeSkeletalMeshContentType,SkinningWeights,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc7687f8,item
enum_value,ELeaderboardColumnName,PlayerNetId,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23efd0,player
enum_value,ELeaderboardColumnName,TribeId,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23eff8,player
enum_value,ELevelExperienceRampType,DinoEasy,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02e7b0,creature
enum_value,ELevelExperienceRampType,DinoHard,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02e760,creature
enum_value,ELevelExperienceRampType,DinoMedium,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02e738,creature
enum_value,ELevelExperienceRampType,Player,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02e788,player
enum_value,EListItemAlignment,CenterAligned,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb04e1c8,item
enum_value,EListItemAlignment,EvenlyDistributed,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb04dfd0,item
enum_value,EListItemAlignment,EvenlySize,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb04dfb0,item
enum_value,EListItemAlignment,EvenlyWide,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb04e1a8,item
enum_value,EListItemAlignment,Fill,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb04e230,item
enum_value,EListItemAlignment,LeftAligned,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb04e188,item
enum_value,EListItemAlignment,RightAligned,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb04e1f0,item
enum_value,ELocalPositionOrigin,InstancePreSkinning,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb54d420,item
enum_value,ELootItemType,AmmoTier1,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23e0b8,item
enum_value,ELootItemType,AmmoTier2,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23e0d8,item
enum_value,ELootItemType,AmmoTier3,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23e0f8,item
enum_value,ELootItemType,ArmorTek,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23e020,item
enum_value,ELootItemType,ArmorTier1,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23dfc0,item
enum_value,ELootItemType,ArmorTier2,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23dfe0,item
enum_value,ELootItemType,ArmorTier3,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23e000,item
enum_value,ELootItemType,Element,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23e358,item
enum_value,ELootItemType,Hexagons,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23e370,item
enum_value,ELootItemType,None,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23e340,item
enum_value,ELootItemType,ResourceCommon,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23e388,item
enum_value,ELootItemType,ResourceRare,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23e3c8,item
enum_value,ELootItemType,ResourceUncommon,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23e3a8,item
enum_value,ELootItemType,Saddle,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23e118,creature;item
enum_value,ELootItemType,Type,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23e140,item
enum_value,ELootItemType,WeaponTek,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23e098,item
enum_value,ELootItemType,WeaponTier1,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23e038,item
enum_value,ELootItemType,WeaponTier2,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23e058,item
enum_value,ELootItemType,WeaponTier3,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23e078,item
enum_value,EMainTabCategory,INVENTORY,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc2b2cd8,item
enum_value,EMediaPlateResourceType,Asset,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcc120c0,item
enum_value,EMediaPlateResourceType,External,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcc120e0,item
enum_value,EMediaPlateResourceType,Playlist,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcc12208,item
enum_value,EMediaPlayerOptionBooleanOverride,Disabled,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb45bf80,player
enum_value,EMediaPlayerOptionBooleanOverride,Enabled,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb45bf50,player
enum_value,EMediaPlayerOptionBooleanOverride,UseMediaPlayerSetting,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb45c068,player
enum_value,EMediaPlayerOptionSeekTimeType,Ignored,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb45bde0,player
enum_value,EMediaPlayerOptionSeekTimeType,RelativeToStartTime,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb45be08,player
enum_value,EMediaPlayerOptionTrackSelectMode,UseMediaPlayerDefaults,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb45bd08,player
enum_value,EMediaPlayerOptionTrackSelectMode,UseTrackOptionIndices,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb45bd48,player
enum_value,EMediaPlayerTrack,Audio,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb45da10,player
enum_value,EMediaPlayerTrack,Caption,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb45da30,player
enum_value,EMediaPlayerTrack,Metadata,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb45da50,player
enum_value,EMediaPlayerTrack,Script,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb45da70,player
enum_value,EMediaPlayerTrack,Subtitle,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb45d9a0,player
enum_value,EMediaPlayerTrack,Text,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb45d9c0,player
enum_value,EMediaPlayerTrack,Video,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb45d9d8,player
enum_value,EMovieSceneBuiltInEasing,QuadInOut,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb33b930,creature
enum_value,EMovieScenePlayerStatus,Jumping,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb30c600,player
enum_value,EMovieScenePlayerStatus,MAX,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb30c7f0,player
enum_value,EMovieScenePlayerStatus,Paused,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb30c650,player
enum_value,EMovieScenePlayerStatus,Playing,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb30c6e8,player
enum_value,EMovieScenePlayerStatus,Scrubbing,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb30c628,player
enum_value,EMovieScenePlayerStatus,Stepping,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb30c670,player
enum_value,EMovieScenePlayerStatus,Stopped,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb30c710,player
enum_value,EMovieScenePlayerStatus,Type,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb30c848,player
enum_value,ENDIActorComponentSourceMode,LocalPlayer,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbaf81d8,player
enum_value,ENDISkeletalMesh_SkinningMode,Invalid,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbb50f20,item
enum_value,ENDISkeletalMesh_SkinningMode,None,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbb50f48,item
enum_value,ENDISkeletalMesh_SkinningMode,PreSkin,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbb50fa0,item
enum_value,ENDISkeletalMesh_SkinningMode,SkinOnTheFly,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbb50f70,item
enum_value,ENavigationGenesis,Controller,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb004808,player
enum_value,ENetCloseResult,ControlChannelPlayerChannelFail,low,ArkAscended.exe,ascii;utf16le,ArkAscended.exe:0xb0695a0;ArkAscended.exe:0xb06b0e0,player
enum_value,EOnlineProxyStoreOfferDiscountType,DiscountAmount,low,ArkAscended.exe,ascii,ArkAscended.exe:0xba89e60,creature
enum_value,EOnlineProxyStoreOfferDiscountType,PayAmount,low,ArkAscended.exe,ascii,ArkAscended.exe:0xba89e30,creature
enum_value,EOptimusDataTypeUsageFlags,Resource,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc7f16e0,item
enum_value,EOptimusNodePinStorageType,Resource,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc7ff720,item
enum_value,EOptimusSkinnedMeshExecDomain,None,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc7ef000,item
enum_value,EOptimusSkinnedMeshExecDomain,Triangle,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc7ef050,item
enum_value,EOptimusSkinnedMeshExecDomain,Vertex,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc7ef028,item
enum_value,EOutputResourceName,Output,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcc27808,item
enum_value,EPartyJoinabilityConstraint,AllowPlayersInMultipleParties,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbc00fc0,player
enum_value,EPartyReservationResult,IncorrectPlayerCount,low,ArkAscended.exe,ascii,ArkAscended.exe:0xba90b70,player
enum_value,EPartyReservationResult,ReservationDenied_ContainsExistingPlayers,low,ArkAscended.exe,ascii,ArkAscended.exe:0xba909f0,player
enum_value,EPhysicsTransformUpdateMode,ComponentTransformIsKinematic,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb75a408,item
enum_value,EPingAverageType,PlayerStateAvg,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb5a2120,player
enum_value,EPlayerActionIndex,Action,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23cb10,player
enum_value,EPlayerActionIndex,Back_WhistleList,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23cdb0,player
enum_value,EPlayerActionIndex,Emote_Cheer,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23ca88,player
enum_value,EPlayerActionIndex,Emote_FriendlyLowerHands,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23caa8,player
enum_value,EPlayerActionIndex,Emote_HatSwitch,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23c958,player
enum_value,EPlayerActionIndex,Emote_Laugh,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23ca08,player
enum_value,EPlayerActionIndex,Emote_MAX,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23cad8,player
enum_value,EPlayerActionIndex,Emote_No,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23ca48,player
enum_value,EPlayerActionIndex,Emote_Salute,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23c980,player
enum_value,EPlayerActionIndex,Emote_Sorry,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23c9a8,player
enum_value,EPlayerActionIndex,Emote_Taunt,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23ca68,player
enum_value,EPlayerActionIndex,Emote_Thank,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23c9c8,player
enum_value,EPlayerActionIndex,Emote_Wave,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23c9e8,player
enum_value,EPlayerActionIndex,Emote_Yes,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23ca28,player
enum_value,EPlayerActionIndex,None,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23c798,player
enum_value,EPlayerActionIndex,Poop,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23cd40,player
enum_value,EPlayerActionIndex,ShowCraftables,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23ccf0,player
enum_value,EPlayerActionIndex,ShowEmoteSelection,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23cd88,player
enum_value,EPlayerActionIndex,ShowInventory,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23ccc8,item;player
enum_value,EPlayerActionIndex,ShowTribeManager,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23cd18,player
enum_value,EPlayerActionIndex,UnHideCompanion,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23cd60,player
enum_value,EPlayerActionIndex,WhistleAggressive,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23cba8,player
enum_value,EPlayerActionIndex,WhistleAttackTarget,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23cc48,player
enum_value,EPlayerActionIndex,WhistleAttackThisTarget,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23cc70,player
enum_value,EPlayerActionIndex,WhistleFollow,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23c7b8,player
enum_value,EPlayerActionIndex,WhistleFollowOne,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23c7e0,player
enum_value,EPlayerActionIndex,WhistleLandFlyerOne,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23cca0,player
enum_value,EPlayerActionIndex,WhistleNeutral,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23cbd0,player
enum_value,EPlayerActionIndex,WhistlePassive,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23cbf8,player
enum_value,EPlayerActionIndex,WhistlePassiveFlee,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23cc20,player
enum_value,EPlayerActionIndex,WhistleStop,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23cb60,player
enum_value,EPlayerActionIndex,WhistleStopOne,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23cb80,player
enum_value,EPlayerConfigDynamicMaterialVectorTypes,BODYFAT_FATDEPOSITS,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02a218,player
enum_value,EPlayerConfigDynamicMaterialVectorTypes,BODYMUSCLE_ARMS_1,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02a1d8,player
enum_value,EPlayerConfigDynamicMaterialVectorTypes,BODYMUSCLE_ARMS_2,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02a118,player
enum_value,EPlayerConfigDynamicMaterialVectorTypes,BODYMUSCLE_BACK,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02a198,player
enum_value,EPlayerConfigDynamicMaterialVectorTypes,BODYMUSCLE_CHEST,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02a258,player
enum_value,EPlayerConfigDynamicMaterialVectorTypes,BODYMUSCLE_LEGS_1,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02a158,player
enum_value,EPlayerConfigDynamicMaterialVectorTypes,BODYMUSCLE_LEGS_2,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02a0a8,player
enum_value,EPlayerConfigDynamicMaterialVectorTypes,MAX,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02a0e8,player
enum_value,EPlayerConfigDynamicMaterialVectorTypes,Type,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02a078,player
enum_value,EPlayerConfigPlayerDynamicMaterialSliderTypes,BODYFATOVERALL,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02b7e8,player
enum_value,EPlayerConfigPlayerDynamicMaterialSliderTypes,BODYFAT_BELLY,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02b4d8,player
enum_value,EPlayerConfigPlayerDynamicMaterialSliderTypes,BODYFAT_BUTT,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02b518,player
enum_value,EPlayerConfigPlayerDynamicMaterialSliderTypes,BODYFAT_CHEST,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02a010,player
enum_value,EPlayerConfigPlayerDynamicMaterialSliderTypes,BODYMUSCLE_ARMS_1_BICEP,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02b1c0,player
enum_value,EPlayerConfigPlayerDynamicMaterialSliderTypes,BODYMUSCLE_ARMS_1_DELTOID,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02b260,player
enum_value,EPlayerConfigPlayerDynamicMaterialSliderTypes,BODYMUSCLE_ARMS_1_TRICEP,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02b2b0,player
enum_value,EPlayerConfigPlayerDynamicMaterialSliderTypes,BODYMUSCLE_ARMS_2_FOREARM,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02b210,player
enum_value,EPlayerConfigPlayerDynamicMaterialSliderTypes,BODYMUSCLE_BACK_BACK,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02b350,player
enum_value,EPlayerConfigPlayerDynamicMaterialSliderTypes,BODYMUSCLE_BACK_NECK,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02b3f0,player
enum_value,EPlayerConfigPlayerDynamicMaterialSliderTypes,BODYMUSCLE_BACK_TRAPEZIES,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02b300,player
enum_value,EPlayerConfigPlayerDynamicMaterialSliderTypes,BODYMUSCLE_CHEST_ABS,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02b490,player
enum_value,EPlayerConfigPlayerDynamicMaterialSliderTypes,BODYMUSCLE_CHEST_OBLIQUES,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02b3a0,player
enum_value,EPlayerConfigPlayerDynamicMaterialSliderTypes,BODYMUSCLE_CHEST_PECTORALS,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02b440,player
enum_value,EPlayerConfigPlayerDynamicMaterialSliderTypes,BODYMUSCLE_LEGS_1_GLUTES,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02b170,player
enum_value,EPlayerConfigPlayerDynamicMaterialSliderTypes,BODYMUSCLE_LEGS_1_HAMSTRINGS,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02b080,player
enum_value,EPlayerConfigPlayerDynamicMaterialSliderTypes,BODYMUSCLE_LEGS_1_LATS,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02b120,player
enum_value,EPlayerConfigPlayerDynamicMaterialSliderTypes,BODYMUSCLE_LEGS_2_ADDUCTORS,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02b0d0,player
enum_value,EPlayerConfigPlayerDynamicMaterialSliderTypes,BODYMUSCLE_LEGS_2_CALVES,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02b880,player
enum_value,EPlayerConfigPlayerDynamicMaterialSliderTypes,BODYMUSCLE_LEGS_2_QUADS,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02b830,player
enum_value,EPlayerConfigPlayerDynamicMaterialSliderTypes,BODYMUSCLE_OVERALL,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02b7a0,player
enum_value,EPlayerConfigPlayerDynamicMaterialSliderTypes,MAX,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02b730,player
enum_value,EPlayerConfigPlayerDynamicMaterialSliderTypes,Type,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02b688,player
enum_value,EPlayerDynamicMaterialType,Color,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02be50,player
enum_value,EPlayerDynamicMaterialType,Float,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02beb0,player
enum_value,EPlayerDynamicMaterialType,Type,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02c188,player
enum_value,EPlayerDynamicMaterialType,Vector,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02be28,player
enum_value,EPlayerHeatMapHeatLevel,ErrorHeat,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23b3f0,player
enum_value,EPlayerHeatMapHeatLevel,HighHeat,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23bff8,player
enum_value,EPlayerHeatMapHeatLevel,Level,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23c060,player
enum_value,EPlayerHeatMapHeatLevel,LowHeat,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23b438,player
enum_value,EPlayerHeatMapHeatLevel,LowMediumHeat,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23b460,player
enum_value,EPlayerHeatMapHeatLevel,MaxHeat,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23c020,player
enum_value,EPlayerHeatMapHeatLevel,MediumHeat,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23bfa8,player
enum_value,EPlayerHeatMapHeatLevel,MediumHighHeat,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23bfd0,player
enum_value,EPlayerHeatMapHeatLevel,NoHeat,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23b418,player
enum_value,EPlayerMappableKeySettingBehaviors,IgnoreSettings,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbd6b048,player
enum_value,EPlayerMappableKeySettingBehaviors,InheritSettingsFromAction,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbd6afe0,player
enum_value,EPlayerMappableKeySettingBehaviors,OverrideSettings,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbd6afa8,player
enum_value,EPlayerMappableKeySlot,Fifth,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbd6a788,player
enum_value,EPlayerMappableKeySlot,First,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbd6ada0,player
enum_value,EPlayerMappableKeySlot,Fourth,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbd6a7a8,player
enum_value,EPlayerMappableKeySlot,Max,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbd6a808,player
enum_value,EPlayerMappableKeySlot,Second,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbd6a768,player
enum_value,EPlayerMappableKeySlot,Seventh,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbd6a7c8,player
enum_value,EPlayerMappableKeySlot,Sixth,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbd6a7e8,player
enum_value,EPlayerMappableKeySlot,Third,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbd6a748,player
enum_value,EPlayerMappableKeySlot,Unspecified,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbd6a828,player
enum_value,EPrimalARKTributeDataType,CharacterData,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23c2e8,creature;player
enum_value,EPrimalARKTributeDataType,Items,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23c298,item
enum_value,EPrimalARKTributeDataType,TamedDinos,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23c2c0,creature
enum_value,EPrimalCharacterInputType,AltFire,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02e038,creature
enum_value,EPrimalCharacterInputType,Crouch,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02e010,creature
enum_value,EPrimalCharacterInputType,CrouchProneToggle,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02dfb8,creature
enum_value,EPrimalCharacterInputType,DinoAttack,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02df68,creature
enum_value,EPrimalCharacterInputType,PrimaryFire,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02e088,creature
enum_value,EPrimalCharacterInputType,Prone,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02df90,creature
enum_value,EPrimalCharacterInputType,Reload,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02dfe8,creature
enum_value,EPrimalCharacterInputType,SwitchMap,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02df40,creature
enum_value,EPrimalCharacterInputType,SwitchWeapon,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02e060,creature;item
enum_value,EPrimalCharacterInputType,Targeting,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02e0b0,creature
enum_value,EPrimalCharacterInputType,Type,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02e3f8,creature
enum_value,EPrimalCharacterStatusState,Cold,high,ArkAscended.exe,ascii,ArkAscended.exe:0xc02d880,creature
enum_value,EPrimalCharacterStatusState,Crafting,high,ArkAscended.exe,ascii,ArkAscended.exe:0xc02d830,creature
enum_value,EPrimalCharacterStatusState,Dead,high,ArkAscended.exe,ascii,ArkAscended.exe:0xc02da08,creature
enum_value,EPrimalCharacterStatusState,Dehydration,high,ArkAscended.exe,ascii,ArkAscended.exe:0xc02d9d8,creature
enum_value,EPrimalCharacterStatusState,Encumbered,high,ArkAscended.exe,ascii,ArkAscended.exe:0xc02d988,creature
enum_value,EPrimalCharacterStatusState,Hot,high,ArkAscended.exe,ascii,ArkAscended.exe:0xc02d808,creature
enum_value,EPrimalCharacterStatusState,Hyperthermia,high,ArkAscended.exe,ascii,ArkAscended.exe:0xc02d928,creature
enum_value,EPrimalCharacterStatusState,Hypothermia,high,ArkAscended.exe,ascii,ArkAscended.exe:0xc02d8f8,creature
enum_value,EPrimalCharacterStatusState,Injured,high,ArkAscended.exe,ascii,ArkAscended.exe:0xc02d8a8,creature
enum_value,EPrimalCharacterStatusState,KnockedOut,high,ArkAscended.exe,ascii,ArkAscended.exe:0xc02d8d0,creature
enum_value,EPrimalCharacterStatusState,MAX,high,ArkAscended.exe,ascii,ArkAscended.exe:0xc02dbe8,creature
enum_value,EPrimalCharacterStatusState,Sleeping,high,ArkAscended.exe,ascii,ArkAscended.exe:0xc02d858,creature
enum_value,EPrimalCharacterStatusState,Starvation,high,ArkAscended.exe,ascii,ArkAscended.exe:0xc02d9b0,creature
enum_value,EPrimalCharacterStatusState,Suffocation,high,ArkAscended.exe,ascii,ArkAscended.exe:0xc02d958,creature
enum_value,EPrimalCharacterStatusState,Type,high,ArkAscended.exe,ascii,ArkAscended.exe:0xc02dba8,creature
enum_value,EPrimalCharacterStatusState,Winded,high,ArkAscended.exe,ascii,ArkAscended.exe:0xc02da30,creature
enum_value,EPrimalCharacterStatusValue,CraftingSpeedMultiplier,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23bcd0,creature
enum_value,EPrimalCharacterStatusValue,Food,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23bb88,creature
enum_value,EPrimalCharacterStatusValue,Health,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23bae8,creature
enum_value,EPrimalCharacterStatusValue,MAX,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23bd08,creature
enum_value,EPrimalCharacterStatusValue,MeleeDamageMultiplier,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23bc30,creature
enum_value,EPrimalCharacterStatusValue,Oxygen,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23bb60,creature
enum_value,EPrimalCharacterStatusValue,SpeedMultiplier,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23bc68,creature
enum_value,EPrimalCharacterStatusValue,Stamina,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23bb10,creature
enum_value,EPrimalCharacterStatusValue,Temperature,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23bbd8,creature
enum_value,EPrimalCharacterStatusValue,TemperatureFortitude,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23bc98,creature
enum_value,EPrimalCharacterStatusValue,Torpidity,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23bb38,creature
enum_value,EPrimalCharacterStatusValue,Type,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23bd50,creature
enum_value,EPrimalCharacterStatusValue,Water,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23bbb0,creature
enum_value,EPrimalCharacterStatusValue,Weight,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23bc08,creature
enum_value,EPrimalConsumableType,Food,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02e668,item
enum_value,EPrimalConsumableType,MAX,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02e5f0,item
enum_value,EPrimalConsumableType,Medicine,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc02e628,item
